rank,feature,pearson_r,pearson_p,ols_coef,ols_p,rf_importance
1,acousticness,-0.0255,0.0,-0.3868,0.0001,0.1501
2,valence,-0.0405,0.0,-2.5376,0.0,0.1225
3,danceability,0.0354,0.0,1.5953,0.0,0.1174
4,duration_ms,-0.0071,0.0161,-0.2146,0.0014,0.1104
5,speechiness,-0.0449,0.0,-1.3278,0.0,0.0995
6,instrumentalness,-0.0951,0.0,-2.5293,0.0,0.0981
7,energy,0.0011,0.7222,-0.6768,0.0,0.0896
8,loudness,0.0504,0.0,0.5775,0.0,0.0795
9,tempo,0.0132,0.0,0.439,0.0,0.0782
10,liveness,-0.0054,0.0684,0.2831,0.0001,0.0546
